datetime,final_score,wealth,pct_starved,population,bushels,acres,last_turn,total_deaths,total_harvested,total_rats_eaten,total_starved,total_infants,total_lost_to_plague,total_land_purchases,total_land_sales
2024-03-08 23:23:38.436893,3,15.895522388059701,3,67,0,1065,11,36,26,230,35,65,58,237,172
2024-03-09 06:23:56.883410,3,12.464912280701755,3,114,11,1421,11,33,40,222,32,102,51,516,95
2024-03-09 06:25:53.300446,3,15.831460674157304,3,89,5,1409,11,35,39,214,34,89,61,516,107
2024-03-09 06:27:46.989648,3,15.963414634146341,3,82,18,1309,11,25,37,236,24,133,122,321,12
2024-03-09 06:29:40.935003,3,47.02857142857143,3,35,6,1646,11,33,43,206,32,119,147,662,16
2024-03-09 06:31:39.289164,3,10.663636363636364,3,110,21,1173,11,30,29,233,29,94,50,358,185
2024-03-09 06:33:35.616023,3,17.410958904109588,3,73,14,1271,11,22,34,228,21,141,142,348,77
2024-03-09 06:35:29.970578,3,23.53448275862069,3,58,3,1365,11,32,36,239,31,103,109,465,100
2024-03-09 06:37:28.357582,3,11.574712643678161,3,87,2,1007,11,28,29,220,27,110,91,196,189
2024-03-09 06:39:24.767086,3,29.475,3,40,21,1179,11,30,31,215,29,107,133,246,67
2024-03-09 06:41:21.159030,3,18.413333333333334,3,75,13,1381,11,29,36,210,28,113,105,445,64
2024-03-09 06:43:21.126175,3,28.785714285714285,3,42,10,1209,11,25,31,220,24,134,163,327,118
2024-03-09 06:45:17.310187,3,23.085106382978722,3,47,20,1085,11,25,29,216,24,131,155,152,67
2024-03-09 06:47:17.706883,3,15.366197183098592,3,71,11,1091,11,27,30,245,26,94,92,193,102
2024-03-09 06:49:12.065120,3,20.180555555555557,3,72,12,1453,11,29,36,206,28,112,107,532,79
2024-03-09 06:51:06.621860,3,41.142857142857146,3,35,15,1440,11,38,36,227,37,71,94,609,169
2024-03-09 06:53:02.853266,3,29.68421052631579,3,38,4,1128,11,21,28,218,20,141,178,172,44
2024-03-09 06:54:59.546106,3,28.657894736842106,3,38,13,1089,11,25,30,212,24,109,142,178,89
2024-03-09 06:56:55.763730,3,21.189655172413794,3,58,21,1229,11,19,38,223,18,168,187,262,33
2024-03-09 06:58:54.618834,3,11.488636363636363,3,88,3,1011,11,28,25,220,27,73,53,177,166
2024-03-09 07:00:49.010212,3,28.21153846153846,3,52,12,1467,11,34,39,237,33,96,106,568,101
2024-03-09 07:02:43.269940,3,31.886363636363637,3,44,7,1403,11,24,34,237,23,105,133,439,36
2024-03-09 07:04:36.226094,3,11.2015503875969,3,129,5,1445,11,40,39,220,39,73,0,572,127
2024-03-09 07:06:33.060343,3,11.153846153846153,3,104,3,1160,11,29,34,216,28,129,92,324,164
2024-03-09 07:08:32.968374,3,20.12280701754386,3,57,0,1147,11,23,31,245,22,170,186,189,42
2024-03-09 07:10:27.378775,3,12.846774193548388,3,124,4,1593,11,33,42,215,32,117,56,632,39
2024-03-09 07:12:26.235511,3,17.660377358490567,3,53,5,936,11,33,25,219,32,74,84,192,256
2024-03-09 07:14:22.575725,3,11.300970873786408,3,103,6,1164,11,27,34,233,26,86,52,277,113
2024-03-09 07:16:19.050959,3,62.17391304347826,3,23,14,1430,11,32,36,241,31,70,111,545,115
2024-03-09 07:18:15.341001,3,13.924731182795698,3,93,10,1295,11,25,35,236,24,107,85,403,108
2024-03-09 07:20:11.800648,3,13.010204081632653,3,98,11,1275,11,33,32,239,32,96,61,414,139
2024-03-09 07:22:08.316962,3,16.022988505747126,3,87,12,1394,11,34,33,231,33,84,59,456,62
2024-03-09 07:24:06.318702,3,16.523809523809526,3,84,20,1388,11,30,39,217,29,125,107,504,116
2024-03-09 07:26:04.875780,3,15.7012987012987,3,77,8,1209,11,33,32,222,32,68,54,367,158
2024-03-09 07:28:05.205890,3,14.772727272727273,3,66,21,975,11,25,24,251,24,84,89,117,142
2024-03-09 07:30:03.094159,3,14.63855421686747,3,83,3,1215,11,23,33,235,22,198,188,307,92
2024-03-09 07:32:03.974480,1,7.212962962962963,3,108,8,779,11,40,28,229,39,52,0,78,299
2024-03-09 07:33:57.806482,3,36.95238095238095,3,42,2,1552,11,29,44,220,28,119,144,567,15
2024-03-09 07:35:52.146931,3,11.982142857142858,3,112,15,1342,11,29,40,223,28,130,85,392,50
2024-03-09 07:37:50.898472,3,30.060606060606062,3,33,24,992,11,26,25,223,25,120,157,135,143
2024-03-09 07:39:45.133785,3,10.887931034482758,3,116,9,1263,11,30,38,256,29,100,50,323,60
2024-03-09 07:41:37.427647,3,19.360655737704917,3,61,14,1181,11,26,36,208,25,131,140,269,88
2024-03-09 07:43:33.893736,3,16.285714285714285,3,84,17,1368,11,30,32,243,29,146,128,454,86
2024-03-09 07:45:26.294325,3,16.126436781609197,3,87,9,1403,11,35,37,230,34,87,61,477,74
2024-03-09 07:47:25.083738,3,17.532467532467532,3,77,7,1350,11,25,37,245,24,155,149,441,91
2024-03-09 07:49:17.512827,3,17.655172413793103,3,87,8,1536,11,35,41,241,34,81,55,608,72
2024-03-09 07:51:18.045165,3,12.37037037037037,3,81,13,1002,11,36,26,238,35,74,53,210,208
2024-03-09 07:53:14.534744,3,43.354838709677416,3,31,11,1344,11,30,33,211,29,80,115,482,138
2024-03-09 07:55:13.361825,3,14.4375,3,80,12,1155,11,29,30,219,28,116,103,316,161
2024-03-09 07:57:11.278388,3,23.272727272727273,3,55,12,1280,11,25,34,210,24,127,143,355,75
2024-03-09 07:59:07.131663,3,15.012195121951219,3,82,14,1231,11,26,33,237,25,105,93,321,90
2024-03-09 08:01:07.646187,3,15.652777777777779,3,72,20,1127,11,27,28,220,26,97,94,301,174
2024-03-09 08:03:08.528662,1,7.37037037037037,3,108,0,796,11,37,25,214,36,49,0,105,309
2024-03-09 08:05:06.820237,3,14.705882352941176,3,85,7,1250,11,24,34,239,23,133,120,309,59
2024-03-09 08:06:59.492011,3,30.711111111111112,3,45,16,1382,11,29,41,221,28,132,154,483,101
2024-03-09 08:08:53.757831,3,17.325,3,80,17,1386,11,25,39,260,24,136,127,429,43
2024-03-09 08:10:52.299738,3,15.538461538461538,3,78,12,1212,11,33,30,208,32,112,97,323,111
2024-03-09 08:12:46.523250,3,13.606382978723405,3,94,0,1279,11,26,39,218,25,111,87,317,38
2024-03-09 08:14:44.514450,3,17.545454545454547,3,66,4,1158,11,24,31,222,23,132,138,337,179
2024-03-09 08:16:40.715581,3,34.22222222222222,3,36,20,1232,11,23,38,209,22,117,154,280,48
2024-03-09 08:18:39.614267,3,10.91588785046729,3,107,6,1168,11,32,32,234,31,43,0,348,180
2024-03-09 08:20:34.087116,3,16.03370786516854,3,89,0,1427,11,35,37,224,34,89,61,466,39
2024-03-09 08:22:39.126746,0,6.617647058823529,3,102,14,675,11,39,22,202,38,45,0,47,372
2024-03-09 08:24:36.093370,2,9.508474576271187,3,118,9,1122,11,40,33,242,39,62,0,331,209
2024-03-09 08:26:35.055113,2,9.258928571428571,3,112,8,1037,11,39,28,282,38,55,0,237,200
2024-03-09 08:28:33.407053,3,17.52112676056338,3,71,3,1244,11,31,36,213,30,98,92,294,50
2024-03-09 08:30:33.957994,3,12.267441860465116,3,86,0,1055,11,33,29,268,32,84,61,197,142
2024-03-09 08:32:30.463284,3,24.89090909090909,3,55,1,1369,11,37,31,223,36,46,50,466,97
2024-03-09 08:34:24.973327,3,14.928571428571429,3,98,12,1463,11,37,40,230,36,104,65,547,84
2024-03-09 08:36:17.367403,3,38.24444444444445,3,45,20,1721,11,35,42,281,34,89,105,730,9
2024-03-09 08:38:12.288839,3,11.25,3,112,7,1260,11,38,33,223,37,54,0,390,130
2024-03-09 08:40:12.654444,3,10.645833333333334,3,96,0,1022,11,26,29,272,25,104,78,150,128
2024-03-09 08:42:13.201704,3,38.689655172413794,3,29,4,1122,11,33,29,233,32,86,120,299,177
2024-03-09 08:44:07.550443,3,15.46808510638298,3,94,0,1454,11,32,36,228,31,85,55,458,4
2024-03-09 08:46:03.969284,3,25.14814814814815,3,54,0,1358,11,35,35,261,34,101,108,469,111
2024-03-09 08:48:02.256277,3,12.865853658536585,3,82,4,1055,11,24,33,223,23,106,96,163,108
2024-03-09 08:49:55.819132,3,44.18181818181818,3,33,2,1458,11,32,37,232,31,93,124,587,129
2024-03-09 08:51:54.809507,2,9.773584905660377,3,106,3,1036,11,40,29,244,39,50,0,219,183
2024-03-09 08:53:49.361498,3,22.863636363636363,3,66,3,1509,11,38,36,220,37,67,59,613,104
2024-03-09 08:55:56.412320,0,5.88,3,100,16,588,11,40,19,211,39,44,0,13,425
2024-03-09 08:57:48.473379,3,24.246376811594203,3,69,0,1673,11,36,44,229,35,108,99,759,86
2024-03-09 08:59:42.786319,3,29.377777777777776,3,45,6,1322,11,28,37,206,27,100,123,349,27
2024-03-09 09:01:36.546070,3,20.88888888888889,3,63,13,1316,11,21,39,235,20,173,185,378,62
2024-03-09 09:03:33.564860,3,10.016,3,125,7,1252,11,40,31,219,39,69,0,471,219
2024-03-09 09:05:34.022794,3,11.5,3,94,12,1081,11,28,32,227,27,113,87,234,153
2024-03-09 09:07:30.310793,3,14.162790697674419,3,86,8,1218,11,27,34,232,26,67,50,317,99
2024-03-09 09:09:29.137453,3,14.529411764705882,3,68,1,988,11,26,25,236,25,88,90,168,180
2024-03-09 09:11:30.101692,1,8.11965811965812,3,117,2,950,11,40,29,215,39,61,0,248,298
2024-03-09 09:13:32.721579,3,27.829268292682926,3,41,14,1141,11,32,29,218,31,69,92,344,203
2024-03-09 09:15:27.634781,3,21.09090909090909,3,66,1,1392,11,41,36,210,40,77,66,501,109
2024-03-09 09:17:20.095620,3,41.205128205128204,3,39,7,1607,11,36,41,216,35,84,105,635,28
2024-03-09 09:19:16.529172,3,13.5875,3,80,1,1087,11,32,27,240,31,74,58,169,82
2024-03-09 09:21:13.526906,2,9.195652173913043,3,138,9,1269,11,43,32,221,42,85,0,416,147
2024-03-09 09:23:16.059910,3,17.65,3,60,0,1059,11,30,27,232,29,87,93,263,204
2024-03-09 09:25:14.929840,3,12.45679012345679,3,81,3,1009,11,25,28,228,24,94,84,188,179
2024-03-09 09:27:07.348439,3,26.689655172413794,3,58,13,1548,11,34,38,264,33,88,92,576,28
2024-03-09 09:29:10.048359,3,14.319444444444445,3,72,0,1031,11,37,27,235,36,75,62,225,194
2024-03-09 09:31:09.052917,3,13.452054794520548,3,73,0,982,11,36,27,273,35,73,60,276,294
2024-03-09 09:33:10.004543,3,25.86111111111111,3,36,20,931,11,37,29,238,36,74,97,273,342
2024-03-09 09:35:06.391099,3,10.086614173228346,3,127,8,1281,11,35,35,218,34,122,56,358,77
2024-03-09 09:37:04.410814,3,28.327272727272728,3,55,0,1558,11,32,41,242,31,99,108,608,50
2024-03-09 09:39:03.288536,3,19.267857142857142,3,56,9,1079,11,31,30,213,30,90,99,272,193
2024-03-09 09:40:58.079224,3,12.96808510638298,3,94,13,1219,11,29,36,237,28,78,51,324,105
2024-03-09 09:42:55.143554,3,20.327868852459016,3,61,0,1240,11,40,31,270,39,67,62,460,220
2024-03-09 09:44:56.142478,1,7.174757281553398,3,103,11,739,11,40,23,228,39,47,0,78,339
2024-03-09 09:46:51.148787,3,12.495652173913044,3,115,7,1437,11,39,34,233,38,58,0,590,153
2024-03-09 09:48:45.631140,3,20.88235294117647,3,68,1,1420,11,36,37,214,35,70,62,529,109
2024-03-09 09:50:44.129630,3,12.222222222222221,3,99,12,1210,11,34,34,226,33,94,57,401,191
2024-03-09 09:52:40.475288,3,18.78688524590164,3,61,6,1146,11,25,28,241,24,142,152,252,106
2024-03-09 09:54:37.326075,3,27.542857142857144,3,35,16,964,11,33,29,238,32,59,87,167,203
2024-03-09 09:56:33.763658,3,16.85542168674699,3,83,7,1399,11,28,34,233,27,108,93,491,92
2024-03-09 09:58:28.154509,3,11.551724137931034,3,116,8,1340,11,33,37,210,32,108,55,442,102
2024-03-09 10:00:19.107952,3,23.29850746268657,3,67,3,1561,11,40,38,209,39,78,67,634,73
2024-03-09 10:02:12.911766,3,19.28787878787879,3,66,0,1273,11,24,37,237,23,103,109,292,19
2024-03-09 10:04:15.485690,3,15.873015873015873,3,63,15,1000,11,35,26,231,34,57,55,214,214
2024-03-09 10:06:15.875066,3,12.55952380952381,3,84,21,1055,11,27,30,227,26,103,88,180,125
2024-03-09 10:08:14.685063,3,14.557377049180328,3,61,1,888,11,33,29,270,32,84,86,168,280
2024-03-09 10:10:09.161175,3,30.74418604651163,3,43,13,1322,11,33,37,222,32,82,102,411,89
2024-03-09 10:12:02.097059,3,11.172131147540984,3,122,14,1363,11,38,34,243,37,64,0,510,147
2024-03-09 10:13:59.051038,3,13.575,3,80,26,1086,11,32,29,236,31,108,92,244,158
2024-03-09 10:15:59.499919,3,11.158415841584159,3,101,9,1127,11,27,31,279,26,116,84,319,192
2024-03-09 10:17:57.821013,3,51.041666666666664,3,24,14,1225,11,26,32,222,25,102,148,300,75
2024-03-09 10:19:52.299152,3,15.302752293577981,3,109,17,1668,11,34,39,229,33,104,57,725,57
2024-03-09 10:21:50.770000,3,10.428571428571429,3,112,5,1168,11,33,33,246,32,102,53,297,129
2024-03-09 10:23:45.551703,2,9.444444444444445,3,108,0,1020,11,33,31,228,32,99,54,241,221
2024-03-09 10:25:39.694872,3,29.833333333333332,3,54,2,1611,11,36,37,230,35,92,98,701,90
2024-03-09 10:27:33.486952,3,42.064516129032256,3,31,9,1304,11,25,37,225,24,115,155,340,36
